Job,Task Characteristic,Column,Value
Community Health Workers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
"Social Work Teachers, Postsecondary",Work Scheduling Autonomy,Work Activities - Mental Processes,7
Media Programming Directors,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Human Resources Assistants, Except Payroll and Timekeeping",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Information Technology Project Managers,Work Scheduling Autonomy,Work Activities - Mental Processes,7
"Meeting, Convention, and Event Planners",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Geothermal Production Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Morticians, Undertakers, and Funeral Arrangers",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Natural Sciences Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Media Technical Directors/Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Construction Managers,Work Scheduling Autonomy,Work Activities - Mental Processes,7
"Architecture Teachers, Postsecondary",Work Scheduling Autonomy,Work Activities - Mental Processes,7
Instructional Coordinators,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Recycling Coordinators,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Fashion Designers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Registered Nurses,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Management Analysts,Work Scheduling Autonomy,Work Activities - Mental Processes,7
"Nursing Instructors and Teachers, Postsecondary",Work Scheduling Autonomy,Work Activities - Mental Processes,7
Executive Secretaries and Executive Administrative Assistants,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Directors, Religious Activities and Education",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Education Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Emergency Management Directors,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Clinical Research Coordinators,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Solar Energy Installation Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Biomass Power Plant Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Health Informatics Specialists,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Secondary School Teachers, Except Special and Career/Technical Education",Work Scheduling Autonomy,Work Activities - Mental Processes,6
Residential Advisors,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,6
Farm and Home Management Educators,Work Scheduling Autonomy,Work Activities - Mental Processes,7
"Special Education Teachers, Secondary School",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Anthropology and Archeology Teachers, Postsecondary",Work Scheduling Autonomy,Work Context - Structural Job Charateristics,7
Medical and Health Services Managers,Work Scheduling Autonomy,Work Context - Structural Job Charateristics cont.,7
Logisticians,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Administrative Services Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Education Administrators, Kindergarten through Secondary",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Medical Equipment Preparers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Chefs and Head Cooks,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Elementary School Teachers, Except Special Education",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Broadcast Announcers and Radio Disc Jockeys,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Chief Sustainability Officers,Work Scheduling Autonomy,Work Activities - Mental Processes,7
Art Directors,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Health Education Specialists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Manufactured Building and Mobile Home Installers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Marketing Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Intelligence Analysts,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Middle School Teachers, Except Special and Career/Technical Education",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Substance Abuse and Behavioral Disorder Counselors,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Acute Care Nurses,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Dentists, General",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Interviewers, Except Eligibility and Loan",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Mechanical Engineering Technologists and Technicians,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Computer and Information Systems Managers,Work Scheduling Autonomy,Work Activities - Mental Processes,7
"Education Administrators, Postsecondary",Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
Market Research Analysts and Marketing Specialists,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Sales Managers,Work Scheduling Autonomy,Work Activities - Mental Processes,6
Wind Energy Operations Managers,Work Scheduling Autonomy,Work Context - Interpersonal Relationships,7
"Career/Technical Education Teachers, Secondary School",Work Scheduling Autonomy,Work Activities - Mental Processes,6
